"","sale_year","sale_month","ZCTA","year_month","variable","value"
"1",2018,"January","68007",2018-01-01,"Median monthly sale price",234.421
"2",2018,"January","68007",2018-01-01,"Mean monthly sale price",220.845634146341
"3",2018,"January","68007",2018-01-01,"Sum of all sales",9054.671
"4",2018,"January","68007",2018-01-01,"Total number of sales",41
"5",2018,"January","68022",2018-01-01,"Median monthly sale price",305.5
"6",2018,"January","68022",2018-01-01,"Mean monthly sale price",296.262362068966
"7",2018,"January","68022",2018-01-01,"Sum of all sales",17183.217
"8",2018,"January","68022",2018-01-01,"Total number of sales",58
"9",2018,"January","68102",2018-01-01,"Median monthly sale price",363.75
"10",2018,"January","68102",2018-01-01,"Mean monthly sale price",363.75
"11",2018,"January","68102",2018-01-01,"Sum of all sales",727.5
"12",2018,"January","68102",2018-01-01,"Total number of sales",2
"13",2018,"January","68104",2018-01-01,"Median monthly sale price",120.5
"14",2018,"January","68104",2018-01-01,"Mean monthly sale price",124.588461538462
"15",2018,"January","68104",2018-01-01,"Sum of all sales",3239.3
"16",2018,"January","68104",2018-01-01,"Total number of sales",26
"17",2018,"January","68105",2018-01-01,"Median monthly sale price",142.9
"18",2018,"January","68105",2018-01-01,"Mean monthly sale price",164.492307692308
"19",2018,"January","68105",2018-01-01,"Sum of all sales",2138.4
"20",2018,"January","68105",2018-01-01,"Total number of sales",13
"21",2018,"January","68106",2018-01-01,"Median monthly sale price",135
"22",2018,"January","68106",2018-01-01,"Mean monthly sale price",157.286
"23",2018,"January","68106",2018-01-01,"Sum of all sales",3932.15
"24",2018,"January","68106",2018-01-01,"Total number of sales",25
"25",2018,"January","68107",2018-01-01,"Median monthly sale price",85
"26",2018,"January","68107",2018-01-01,"Mean monthly sale price",88.6884615384615
"27",2018,"January","68107",2018-01-01,"Sum of all sales",1152.95
"28",2018,"January","68107",2018-01-01,"Total number of sales",13
"29",2018,"January","68108",2018-01-01,"Median monthly sale price",96
"30",2018,"January","68108",2018-01-01,"Mean monthly sale price",96.5
"31",2018,"January","68108",2018-01-01,"Sum of all sales",579
"32",2018,"January","68108",2018-01-01,"Total number of sales",6
"33",2018,"January","68110",2018-01-01,"Median monthly sale price",115
"34",2018,"January","68110",2018-01-01,"Mean monthly sale price",115
"35",2018,"January","68110",2018-01-01,"Sum of all sales",115
"36",2018,"January","68110",2018-01-01,"Total number of sales",1
"37",2018,"January","68111",2018-01-01,"Median monthly sale price",39
"38",2018,"January","68111",2018-01-01,"Mean monthly sale price",46.9535714285714
"39",2018,"January","68111",2018-01-01,"Sum of all sales",328.675
"40",2018,"January","68111",2018-01-01,"Total number of sales",7
"41",2018,"January","68112",2018-01-01,"Median monthly sale price",93
"42",2018,"January","68112",2018-01-01,"Mean monthly sale price",96.18
"43",2018,"January","68112",2018-01-01,"Sum of all sales",480.9
"44",2018,"January","68112",2018-01-01,"Total number of sales",5
"45",2018,"January","68114",2018-01-01,"Median monthly sale price",167.5
"46",2018,"January","68114",2018-01-01,"Mean monthly sale price",263.233333333333
"47",2018,"January","68114",2018-01-01,"Sum of all sales",3158.8
"48",2018,"January","68114",2018-01-01,"Total number of sales",12
"49",2018,"January","68116",2018-01-01,"Median monthly sale price",221.8765
"50",2018,"January","68116",2018-01-01,"Mean monthly sale price",209.50296
"51",2018,"January","68116",2018-01-01,"Sum of all sales",10475.148
"52",2018,"January","68116",2018-01-01,"Total number of sales",50
"53",2018,"January","68117",2018-01-01,"Median monthly sale price",97
"54",2018,"January","68117",2018-01-01,"Mean monthly sale price",101.333333333333
"55",2018,"January","68117",2018-01-01,"Sum of all sales",304
"56",2018,"January","68117",2018-01-01,"Total number of sales",3
"57",2018,"January","68118",2018-01-01,"Median monthly sale price",252.5
"58",2018,"January","68118",2018-01-01,"Mean monthly sale price",279.166666666667
"59",2018,"January","68118",2018-01-01,"Sum of all sales",1675
"60",2018,"January","68118",2018-01-01,"Total number of sales",6
"61",2018,"January","68122",2018-01-01,"Median monthly sale price",159
"62",2018,"January","68122",2018-01-01,"Mean monthly sale price",157.376923076923
"63",2018,"January","68122",2018-01-01,"Sum of all sales",2045.9
"64",2018,"January","68122",2018-01-01,"Total number of sales",13
"65",2018,"January","68124",2018-01-01,"Median monthly sale price",173
"66",2018,"January","68124",2018-01-01,"Mean monthly sale price",232.614285714286
"67",2018,"January","68124",2018-01-01,"Sum of all sales",4884.9
"68",2018,"January","68124",2018-01-01,"Total number of sales",21
"69",2018,"January","68127",2018-01-01,"Median monthly sale price",165
"70",2018,"January","68127",2018-01-01,"Mean monthly sale price",184.054545454545
"71",2018,"January","68127",2018-01-01,"Sum of all sales",2024.6
"72",2018,"January","68127",2018-01-01,"Total number of sales",11
"73",2018,"January","68130",2018-01-01,"Median monthly sale price",370.5
"74",2018,"January","68130",2018-01-01,"Mean monthly sale price",366.945833333333
"75",2018,"January","68130",2018-01-01,"Sum of all sales",8806.7
"76",2018,"January","68130",2018-01-01,"Total number of sales",24
"77",2018,"January","68131",2018-01-01,"Median monthly sale price",158
"78",2018,"January","68131",2018-01-01,"Mean monthly sale price",206.811111111111
"79",2018,"January","68131",2018-01-01,"Sum of all sales",1861.3
"80",2018,"January","68131",2018-01-01,"Total number of sales",9
"81",2018,"January","68132",2018-01-01,"Median monthly sale price",250
"82",2018,"January","68132",2018-01-01,"Mean monthly sale price",278.97
"83",2018,"January","68132",2018-01-01,"Sum of all sales",2789.7
"84",2018,"January","68132",2018-01-01,"Total number of sales",10
"85",2018,"January","68134",2018-01-01,"Median monthly sale price",144.25
"86",2018,"January","68134",2018-01-01,"Mean monthly sale price",148.35
"87",2018,"January","68134",2018-01-01,"Sum of all sales",3560.4
"88",2018,"January","68134",2018-01-01,"Total number of sales",24
"89",2018,"January","68135",2018-01-01,"Median monthly sale price",235.25
"90",2018,"January","68135",2018-01-01,"Mean monthly sale price",253.667545454545
"91",2018,"January","68135",2018-01-01,"Sum of all sales",11161.372
"92",2018,"January","68135",2018-01-01,"Total number of sales",44
"93",2018,"January","68137",2018-01-01,"Median monthly sale price",175
"94",2018,"January","68137",2018-01-01,"Mean monthly sale price",180.65
"95",2018,"January","68137",2018-01-01,"Sum of all sales",4516.25
"96",2018,"January","68137",2018-01-01,"Total number of sales",25
"97",2018,"January","68142",2018-01-01,"Median monthly sale price",203
"98",2018,"January","68142",2018-01-01,"Mean monthly sale price",216.802476190476
"99",2018,"January","68142",2018-01-01,"Sum of all sales",4552.852
"100",2018,"January","68142",2018-01-01,"Total number of sales",21
"101",2018,"January","68144",2018-01-01,"Median monthly sale price",168
"102",2018,"January","68144",2018-01-01,"Mean monthly sale price",177.785714285714
"103",2018,"January","68144",2018-01-01,"Sum of all sales",2489
"104",2018,"January","68144",2018-01-01,"Total number of sales",14
"105",2018,"January","68152",2018-01-01,"Median monthly sale price",156
"106",2018,"January","68152",2018-01-01,"Mean monthly sale price",193.298666666667
"107",2018,"January","68152",2018-01-01,"Sum of all sales",1159.792
"108",2018,"January","68152",2018-01-01,"Total number of sales",6
"109",2018,"January","68154",2018-01-01,"Median monthly sale price",239.75
"110",2018,"January","68154",2018-01-01,"Mean monthly sale price",252.861111111111
"111",2018,"January","68154",2018-01-01,"Sum of all sales",4551.5
"112",2018,"January","68154",2018-01-01,"Total number of sales",18
"113",2018,"January","68164",2018-01-01,"Median monthly sale price",167.5
"114",2018,"January","68164",2018-01-01,"Mean monthly sale price",200.059459459459
"115",2018,"January","68164",2018-01-01,"Sum of all sales",7402.2
"116",2018,"January","68164",2018-01-01,"Total number of sales",37
"117",2018,"February","68007",2018-02-01,"Median monthly sale price",215.5
"118",2018,"February","68007",2018-02-01,"Mean monthly sale price",219.783815789474
"119",2018,"February","68007",2018-02-01,"Sum of all sales",8351.785
