Date,Year,County,Cumulative_cases,Cumulative_deaths,Daily_cases,Daily_deaths
2/17/2020,2020,Douglas,10,0,10,0
2/18/2020,2020,Douglas,10,0,0,0
2/19/2020,2020,Douglas,10,0,0,0
2/20/2020,2020,Douglas,11,0,1,0
2/21/2020,2020,Douglas,11,0,0,0
2/22/2020,2020,Douglas,11,0,0,0
2/23/2020,2020,Douglas,11,0,0,0
2/24/2020,2020,Douglas,12,0,1,0
2/25/2020,2020,Douglas,13,0,1,0
2/26/2020,2020,Douglas,13,0,0,0
2/27/2020,2020,Douglas,13,0,0,0
2/28/2020,2020,Douglas,13,0,0,0
2/29/2020,2020,Douglas,13,0,0,0
3/1/2020,2020,Douglas,13,0,0,0
3/2/2020,2020,Douglas,13,0,0,0
3/3/2020,2020,Douglas,13,0,0,0
3/4/2020,2020,Douglas,13,0,0,0
3/5/2020,2020,Douglas,13,0,0,0
3/6/2020,2020,Douglas,14,0,1,0
3/7/2020,2020,Douglas,14,0,0,0
3/8/2020,2020,Douglas,16,0,2,0
3/9/2020,2020,Douglas,16,0,0,0
3/10/2020,2020,Douglas,17,0,1,0
3/11/2020,2020,Douglas,23,0,6,0
3/12/2020,2020,Douglas,23,0,0,0
3/13/2020,2020,Douglas,26,0,3,0
3/14/2020,2020,Douglas,28,0,2,0
3/15/2020,2020,Douglas,30,0,2,0
3/16/2020,2020,Douglas,32,0,2,0
3/17/2020,2020,Douglas,33,0,1,0
3/18/2020,2020,Douglas,37,0,4,0
3/19/2020,2020,Douglas,37,0,0,0
3/20/2020,2020,Douglas,40,0,3,0
3/21/2020,2020,Douglas,46,0,6,0
3/22/2020,2020,Douglas,46,0,0,0
3/23/2020,2020,Douglas,50,0,4,0
3/24/2020,2020,Douglas,52,0,2,0
3/25/2020,2020,Douglas,54,0,2,0
3/26/2020,2020,Douglas,58,0,4,0
3/27/2020,2020,Douglas,60,1,2,1
3/28/2020,2020,Douglas,74,1,14,0
3/29/2020,2020,Douglas,79,1,5,0
3/30/2020,2020,Douglas,104,1,25,0
3/31/2020,2020,Douglas,113,1,9,0
4/1/2020,2020,Douglas,116,1,3,0
4/2/2020,2020,Douglas,130,1,14,0
4/3/2020,2020,Douglas,138,1,8,0
4/4/2020,2020,Douglas,148,3,10,2
4/5/2020,2020,Douglas,158,3,10,0
4/6/2020,2020,Douglas,173,4,15,1
4/7/2020,2020,Douglas,189,5,16,1
4/8/2020,2020,Douglas,199,5,10,0
4/9/2020,2020,Douglas,225,6,26,1
4/10/2020,2020,Douglas,236,7,11,1
4/11/2020,2020,Douglas,244,7,8,0
4/12/2020,2020,Douglas,256,7,12,0
4/13/2020,2020,Douglas,261,7,5,0
4/14/2020,2020,Douglas,269,8,8,1
4/15/2020,2020,Douglas,273,8,4,0
4/16/2020,2020,Douglas,280,8,7,0
4/17/2020,2020,Douglas,287,8,7,0
4/18/2020,2020,Douglas,297,8,10,0
4/19/2020,2020,Douglas,302,8,5,0
4/20/2020,2020,Douglas,313,10,11,2
4/21/2020,2020,Douglas,319,14,6,4
4/22/2020,2020,Douglas,324,14,5,0
4/23/2020,2020,Douglas,362,14,38,0
4/24/2020,2020,Douglas,390,14,28,0
4/25/2020,2020,Douglas,396,14,6,0
4/26/2020,2020,Douglas,433,14,37,0
4/27/2020,2020,Douglas,476,14,43,0
4/28/2020,2020,Douglas,518,15,42,1
4/29/2020,2020,Douglas,594,16,76,1
4/30/2020,2020,Douglas,670,16,76,0
5/1/2020,2020,Douglas,758,16,88,0
5/2/2020,2020,Douglas,825,16,67,0
5/3/2020,2020,Douglas,879,16,54,0
5/4/2020,2020,Douglas,977,16,98,0
5/5/2020,2020,Douglas,1049,16,72,0
5/6/2020,2020,Douglas,1127,17,78,1
5/7/2020,2020,Douglas,1235,17,108,0
5/8/2020,2020,Douglas,1356,17,121,0
5/9/2020,2020,Douglas,1515,18,159,1
5/10/2020,2020,Douglas,1610,20,95,2
5/11/2020,2020,Douglas,1649,21,39,1
5/12/2020,2020,Douglas,1729,21,80,0
5/13/2020,2020,Douglas,1801,21,72,0
5/14/2020,2020,Douglas,1925,23,124,2
5/15/2020,2020,Douglas,2107,24,182,1
5/16/2020,2020,Douglas,2319,24,212,0
5/17/2020,2020,Douglas,2428,24,109,0
5/18/2020,2020,Douglas,2492,24,64,0
5/19/2020,2020,Douglas,2597,24,105,0
5/20/2020,2020,Douglas,2729,24,132,0
5/21/2020,2020,Douglas,2855,27,126,3
5/22/2020,2020,Douglas,2942,29,87,2
5/23/2020,2020,Douglas,3038,29,96,0
5/24/2020,2020,Douglas,3108,29,70,0
5/25/2020,2020,Douglas,3200,29,92,0
5/26/2020,2020,Douglas,3369,29,169,0
5/27/2020,2020,Douglas,3597,33,228,4
5/28/2020,2020,Douglas,3783,34,186,1
5/29/2020,2020,Douglas,3969,37,186,3
5/30/2020,2020,Douglas,4187,37,218,0
5/31/2020,2020,Douglas,4314,37,127,0
6/1/2020,2020,Douglas,4426,38,112,1
6/2/2020,2020,Douglas,4571,41,145,3
6/3/2020,2020,Douglas,4690,42,119,1
6/4/2020,2020,Douglas,4879,45,189,3
6/5/2020,2020,Douglas,5004,45,125,0
