"","year","ZCTA","demographic_category","value"
"1","2018","68007","total households",3589
"2","2018","68007","total households, received SNAP",25
"3","2018","68007","total households, White householder",3449
"4","2018","68007","White households, received SNAP",70
"5","2018","68007","total households, Black householder",57
"6","2018","68007","Black households, received SNAP",6
"7","2018","68007","total households, Asian householder",58
"8","2018","68007","Asian households, received SNAP",0
"9","2018","68007","total households, Hispanic/Latino (any race)",65
"10","2018","68007","Hispanic/Latino households, received SNAP",0
"11","2018","68007","total population",10451
"12","2018","68007","total population under 18",3508
"13","2018","68007","median age total population",34.3
"14","2018","68007","median age male",34.3
"15","2018","68007","median age female",34.3
"16","2018","68007","limited English households, total",3
"17","2018","68007","limited English households, percentage",0.1
"18","2018","68007","total population under 18 in poverty status",58
"19","2018","68007","total SNAP percentage",0.00696572861521315
"20","2018","68007","White SNAP percentage",0.020295737895042
"21","2018","68007","Black SNAP percentage",0.105263157894737
"22","2018","68007","Asian SNAP percentage",0
"23","2018","68007","Hispanic/Latino SNAP percentage",0
"24","2018","68007","child poverty rate",0.016533637400228
"25","2018","68022","total households",8460
"26","2018","68022","total households, received SNAP",45
"27","2018","68022","total households, White householder",8077
"28","2018","68022","White households, received SNAP",79
"29","2018","68022","total households, Black householder",75
"30","2018","68022","Black households, received SNAP",0
"31","2018","68022","total households, Asian householder",192
"32","2018","68022","Asian households, received SNAP",0
"33","2018","68022","total households, Hispanic/Latino (any race)",109
"34","2018","68022","Hispanic/Latino households, received SNAP",0
"35","2018","68022","total population",23049
"36","2018","68022","total population under 18",7005
"37","2018","68022","median age total population",35.5
"38","2018","68022","median age male",33.6
"39","2018","68022","median age female",36.8
"40","2018","68022","limited English households, total",12
"41","2018","68022","limited English households, percentage",0.1
"42","2018","68022","total population under 18 in poverty status",170
"43","2018","68022","total SNAP percentage",0.00531914893617021
"44","2018","68022","White SNAP percentage",0.0097808592299121
"45","2018","68022","Black SNAP percentage",0
"46","2018","68022","Asian SNAP percentage",0
"47","2018","68022","Hispanic/Latino SNAP percentage",0
"48","2018","68022","child poverty rate",0.0242683797287652
"49","2018","68102","total households",3981
"50","2018","68102","total households, received SNAP",84
"51","2018","68102","total households, White householder",3017
"52","2018","68102","White households, received SNAP",127
"53","2018","68102","total households, Black householder",472
"54","2018","68102","Black households, received SNAP",159
"55","2018","68102","total households, Asian householder",242
"56","2018","68102","Asian households, received SNAP",15
"57","2018","68102","total households, Hispanic/Latino (any race)",241
"58","2018","68102","Hispanic/Latino households, received SNAP",75
"59","2018","68102","total population",7869
"60","2018","68102","total population under 18",322
"61","2018","68102","median age total population",29.7
"62","2018","68102","median age male",32.2
"63","2018","68102","median age female",26.3
"64","2018","68102","limited English households, total",138
"65","2018","68102","limited English households, percentage",3.5
"66","2018","68102","total population under 18 in poverty status",66
"67","2018","68102","total SNAP percentage",0.0211002260738508
"68","2018","68102","White SNAP percentage",0.042094796155121
